activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
other,unprovoked,other shark,25.0,injured,2024-06-07,usa,hawaii,"haleiwa, oahu",F
swimming,unprovoked,bull shark,15.0,injured,2024-06-07,usa,florida,rosemary beach walton county,F
swimming,unprovoked,bull shark,45.0,injured,2024-06-07,usa,florida,water sound  beach walton county,F
other,unprovoked,other,46.0,injured,2024-06-02,usa,california,del mar beach san diego,M
other,unprovoked,other,23.0,fatal,2024-06-02,maldive islands,maahvah laamu atoll,indian ocean,M
swimming,unprovoked,other,19.0,injured,2024-05-28,usa,galveston,jamaica beach,F
other,unprovoked,other shark,27.0,other,2024-05-24,turks and caicos,providenciales island,leward reef,M
other,unprovoked,other shark,20.0,injured,2024-05-23,french polynesia,gambier islands,mangareva atoll,M
fishing,unprovoked,other shark,65.0,injured,2024-05-02,usa,south carolina,y-73' ledge reef chareston coast,M
swimming,unprovoked,bull shark,64.0,injured,2024-04-26,tobago,graet courland bay,turtle beach,M
other,unprovoked,other shark,24.0,injured,2024-04-26,bahamas,clarence town long isand,flying fish marina,M
fishing,unprovoked,other,16.0,injured,2024-04-20,australia,south australia,west beach glenelg,M
surfing,unprovoked,other,26.0,injured,2024-04-20,australia,western australia,lighthouse bombie surf spot exemouth,M
swimming,unprovoked,other,,injured,2024-04-08,maldive islands,nunu atoll,unspecified,M
swimming,unprovoked,tiger shark,13.0,injured,2024-03-15,australia,queensland,bargara beach,F
surfing,unprovoked,tiger shark,,no injury,2024-03-04,usa,hawaii,"old man's, waikiki",M
swimming,unprovoked,other shark,11.0,injured,2024-03-02,usa,hawaii,"rainbows, oahu",F
swimming,unprovoked,tiger shark,46.0,injured,2024-02-25,australia,western australia,"sandlnd island, jurian bay",F
fishing,unprovoked,bull shark,32.0,injured,2024-02-14,india,maharashtra,"vaitarna river, palghar district",M
fishing,other,other shark,,injured,2024-02-04,trinidad,,,M
swimming,unprovoked,bull shark,29.0,injured,2024-01-29,australia,new  south wales,"elizabeth bay, sydney harbor",F
swimming,unprovoked,unknown,10.0,injured,2024-01-15,bahamas,paradise island,paradise island resort,M
surfing,unprovoked,white shark,64.0,injured,2024-01-09,australia,south australia,"walkers beach, elliston",M
fishing,provoked,other shark,62.0,injured,2024-01-05,south africa,eastern cape province,papiesfontein,M
surfing,unprovoked,unknown,39.0,fatal,2023-12-30,usa,hawaii,"baby beach, maui",M
diving,unprovoked,white shark,22.0,fatal,2023-12-29,mexico,sonora,"tojahui beach, yavaros, huatabampo",M
surfing,unprovoked,white shark,15.0,fatal,2023-12-28,australia,south australia,ethel beach,M
surfing,unprovoked,unknown,16.0,injured,2023-12-25,australia,new south wales,old bar,M
other,unprovoked,other,46.0,other,2023-12-24,australia,western australia,wedge island,M
swimming,unprovoked,other shark,21.0,injured,2023-12-18,new zealand,south island,riverton,F
swimming,other,unknown,66.0,fatal,2023-12-14,mexico,guerrero,"playa quieta, ixtapa, zihuatanejo",M
swimming,other,unknown,52.0,injured,2023-12-14,mexico,guerrero,"playa quieta, ixtapa, zihuatanejo",F
diving,unprovoked,unknown,20.0,injured,2023-12-08,australia,queensland,1770,M
other,unprovoked,unknown,44.0,fatal,2023-12-04,bahamas,new providence   isoad,sandals resort,F
swimming,unprovoked,unknown,26.0,fatal,2023-12-02,mexico,jalisco,san patricio melaque,F
swimming,unprovoked,bull shark,21.0,other,2023-11-30,australia,queensland,clack island,M
diving,unprovoked,unknown,47.0,fatal,2023-11-21,bahamas,grand  bahama island,tiger beach,F
diving,unprovoked,unknown,32.0,injured,2023-11-10,australia,south australia,port noarlunga,F
swimming,unprovoked,unknown,66.0,injured,2023-11-05,usa,florida,"juno beach, palm beach county",M
fishing,unprovoked,other shark,,injured,2023-11-03,australia,westerm australia,peak island,M
diving,unprovoked,white shark,,injured,2023-11-02,new zealand,north island,cape pallister,M
diving,other,other shark,66.0,no injury,2023-11-02,egypt,southern red sea,fury shoal,M
surfing,unprovoked,white shark,55.0,fatal,2023-10-31,australia,south australia,streaky bay,M
surfing,unprovoked,tiger shark,30.0,injured,2023-10-25,usa,hawaii,"pua’ena point,  haleiwa, oahu",M
fishing,provoked,unknown,59.0,injured,2023-10-23,mexico,quintana roo,banco chinchorro biosphere reserve,M
fishing,other,other,,injured,2023-10-21,australia,western australia,"alexander bay, esperance",M
diving,unprovoked,other shark,8.0,injured,2023-10-20,belize,belize district,"san pedro , ambergris caye",F
surfing,unprovoked,tiger shark,50.0,injured,2023-10-15,usa,hawaii,"hanalei bay, kauai",M
surfing,unprovoked,unknown,52.0,injured,2023-10-13,usa,california,"linda mar, pacific state beach, san mateo county",M
surfing,unprovoked,other shark,45.0,injured,2023-10-02,usa,hawaii,"paia, maui",F
swimming,unprovoked,unknown,64.0,injured,2023-10-01,australia,south australia,beachport,F
swimming,unprovoked,unknown,52.0,other,2023-10-01,usa,california,"wildcat beach, marin county",M
swimming,unprovoked,unknown,,injured,2023-09-18,usa,south carolina,"myrtle beach, horry county",M
swimming,unprovoked,tiger shark,34.0,injured,2023-09-13,egypt,south sinai,dahab,F
surfing,other,unknown,38.0,injured,2023-09-12,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,,injured,2023-09-11,usa,florida,"satellite beach, brevard county",M
fishing,unprovoked,unknown,,injured,2023-09-09,philippines,bolinao,"pangasinan, ilocos norte, luzon island",M
other,other,other shark,,injured,2023-09-06,coral sea,,,M
surfing,unprovoked,unknown,,injured,2023-09-04,usa,florida,"ponce inlet, volusia county",M
swimming,unprovoked,unknown,37.0,injured,2023-09-04,usa,florida,"ponce inlet, volusia county",F
surfing,unprovoked,white shark,44.0,injured,2023-08-25,australia,new south wales,"lighthouse beach, port macquarie",M
swimming,unprovoked,unknown,9.0,injured,2023-08-23,usa,north carolina,"oak island, brunswick county",
other,other,unknown,19.0,no injury,2023-08-22,usa,california,"pebble beach, san mateo county",M
other,other,unknown,,injured,2023-08-21,bahamas,new providence   isoad,"saunders beach, nassau",M
swimming,unprovoked,other shark,35.0,injured,2023-08-16,spain,valencia,rabdells beach,M
fishing,provoked,other shark,,injured,2023-08-16,portugal,norte,9 nm off vila do conde,M
other,unprovoked,unknown,,fatal,2023-08-12,samoa,savai'i island,lano,M
swimming,unprovoked,unknown,65.0,injured,2023-08-07,usa,new york,rockaway,F
surfing,unprovoked,unknown,22.0,injured,2023-07-31,usa,florida,"new smyrna beach, volusia county",M
fishing,unprovoked,unknown,22.0,injured,2023-07-30,usa,florida,"anna maria island, manatee county",M
swimming,unprovoked,unknown,26.0,injured,2023-07-29,usa,florida,tampa bay,F
surfing,unprovoked,other shark,,injured,2023-07-24,australia,western australia,gnarabup beach,M
diving,unprovoked,other shark,77.0,injured,2023-07-22,australia,western australia,yallingup lagoon,M
surfing,unprovoked,other shark,60.0,injured,2023-07-21,usa,south carolina,"sea pines beach, hilton head island, beaufort county",M
other,unprovoked,other shark,38.0,injured,2023-07-18,colombia,san andrés island,nirvana,M
other,unprovoked,unknown,49.0,injured,2023-07-15,usa,florida,new smyrna beach,M
surfing,unprovoked,unknown,21.0,injured,2023-07-14,usa,florida,new smyrna beach,M
other,other,unknown,,no injury,2023-07-14,south africa,eastern cape province,chinta east,
diving,unprovoked,unknown,42.0,injured,2023-07-04,ecuador,galapagos islands,mosquera islet,F
swimming,unprovoked,other shark,,other,2023-07-04,usa,new york,"cherry grove, suffolk county",F
swimming,unprovoked,other shark,49.0,injured,2023-07-04,usa,new york,"fire island pines, suffolk county",M
swimming,unprovoked,unknown,47.0,injured,2023-07-04,usa,new york,"quogue village beach, suffolk county",M
surfing,unprovoked,unknown,15.0,injured,2023-07-03,usa,new york,"kismet beach, suffolk county",M
swimming,unprovoked,tiger shark,15.0,other,2023-07-03,usa,new york,"beach 3, robert moses state park, suffolk county",F
swimming,unprovoked,unknown,,other,2023-06-23,usa,florida,"cocoa beach, brevard county",F
fishing,unprovoked,unknown,,injured,2023-06-23,usa,florida,"flamingo marina, homestead, miami-dade county",M
other,unprovoked,tiger shark,,other,2023-06-14,usa,hawaii,laysan,M
swimming,unprovoked,tiger shark,24.0,fatal,2023-06-08,egypt,red sea protectorate,"dream beach, hurguda",M
diving,unprovoked,other shark,73.0,injured,2023-06-07,bahamas,freeport,shark junction,F
other,unprovoked,other shark,25.0,injured,2023-05-28,french polynesia,tahiti,"matavai bay, arue, papetee",F
fishing,unprovoked,unknown,42.0,fatal,2023-05-28,new caledonia,poum,twagne,M
diving,unprovoked,other shark,22.0,other,2023-05-24,turks and caicos,providenciales island,grace bay beach,F
other,other,other shark,18.0,fatal,2023-05-24,bahamas,lucayan lucayan archipelago,athol island,M
other,provoked,other shark,26.0,injured,2023-05-20,usa,utah,sea quest aquarium layton davis county,F
surfing,unprovoked,unknown,15.0,injured,2023-05-21,usa,new jersey,"stone harbor, cape may county",F
fishing,provoked,unknown,35.0,other,2023-05-19,usa,florida,"flagship drive, summerland key, monroe county",M
fishing,unprovoked,unknown,20.0,other,2023-05-18,usa,florida,"marathon, monroe county",M
