activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
other,unprovoked,unknown,,fatal,1988-04-28,reunion,saint-louis,embouchure de l'étang du gol,M
surfing,unprovoked,white shark,,no injury,1988-04-24,usa,california,"north of morro rock, san luis obispo county",M
swimming,unprovoked,unknown,24.0,injured,1988-04-15,usa,florida,"singer island, riviera beach, palm beach county",M
other,other,unknown,,other,1988-04-15,usa,hawaii,"waihe'e, maui",M
surfing,unprovoked,unknown,14.0,injured,1988-04-14,usa,florida,"singer island, riviera beach, palm beach county",M
surfing,unprovoked,unknown,,injured,1988-04-14,usa,florida,"singer island, riviera beach, palm beach county",M
other,other,unknown,,injured,1988-04-10,south africa,kwazulu-natal,la lucia,F
swimming,unprovoked,unknown,30.0,injured,1988-03-31,usa,florida,"singer island, riviera beach, palm beach county",F
surfing,unprovoked,unknown,,injured,1988-03-25,usa,hawaii,"running waters beach, ninini point, kaua'i",M
surfing,unprovoked,other shark,17.0,injured,1988-03-16,south africa,kwazulu-natal,isipingo,M
surfing,unprovoked,unknown,,injured,1988-03-14,reunion,saint-pierre,pic du diable,M
other,other,other shark,,no injury,1988-02-15,south africa,kwazulu-natal,"brighton beach, durban",
surfing,unprovoked,other shark,20.0,injured,1988-02-14,south africa,eastern cape province,nahoon,M
other,unprovoked,other shark,15.0,injured,1988-02-13,south africa,kwazulu-natal,mtunzini,F
other,other,other shark,,no injury,1988-02-12,australia,western australia,18 km west of bunbury,
diving,unprovoked,tiger shark,22.0,injured,1988-02-02,fiji,vanua levu,,M
surfing,other,unknown,22.0,injured,1988-01-27,south africa,kwazulu-natal,durban,M
other,other,unknown,,other,1988-01-21,australia,torres strait,,M
fishing,provoked,other shark,,injured,1988-01-14,usa,louisiana,,M
other,provoked,other shark,33.0,other,1988-01-06,south africa,western cape province,struisbaai,M
other,provoked,other shark,,no injury,1988-01-05,south africa,western cape province,great brak river,
surfing,unprovoked,other shark,12.0,injured,,australia,new south wales,sydney,M
other,other,unknown,,injured,1987-12-20,philippines,mindoro,off manila,
surfing,unprovoked,other shark,16.0,injured,1987-12-17,usa,florida,"palm beach, palm beach county",M
other,other,unknown,,other,1987-12-13,australia,new south wales,shoalhaven,F
surfing,unprovoked,unknown,15.0,other,1987-11-21,usa,florida,"north of jupiter inlet, palm beach county",M
other,other,unknown,,other,,south africa,kwazulu-natal,st. lucia,M
surfing,unprovoked,other shark,20.0,injured,1987-10-26,usa,california,"davenport light, san mateo county",M
surfing,other,unknown,14.0,other,1987-10-25,south africa,kwazulu-natal,richards bay,M
fishing,unprovoked,white shark,21.0,other,1987-10-11,south africa,western cape province,"seal island, false bay",M
other,other,other shark,,other,1987-10-06,dominican republic,between dr and puerto rico,mona passage,
other,unprovoked,white shark,47.0,fatal,1987-09-18,australia,south australia,"merino rocks, adelaide",M
surfing,unprovoked,white shark,24.0,other,1987-09-13,south africa,western cape province,still bay,M
swimming,unprovoked,other shark,12.0,other,1987-08-20,usa,florida,"satellite  beach, brevard county",M
other,unprovoked,white shark,40.0,injured,1987-08-15,usa,california,"tunitas beach, san mateo county",M
surfing,unprovoked,other shark,27.0,other,1987-07-21,usa,florida,"ponce inlet, new smyrna beach, volusia county",M
surfing,unprovoked,other shark,32.0,injured,1987-07-12,usa,texas,"mustang island, near port aransas",F
swimming,unprovoked,other shark,16.0,other,1987-07-12,usa,texas,"mustang island, near port aransas",F
other,other,other shark,,no injury,1987-07-11,usa,south carolina,winyah bay,
diving,unprovoked,unknown,35.0,injured,1987-07-09,bahamas,exuma islands,sampson cay,M
fishing,unprovoked,other shark,,other,,bahamas,,,M
fishing,provoked,other shark,,injured,1987-06-13,usa,florida,"nest key, monroe county",M
other,unprovoked,other shark,12.0,other,1987-05-25,usa,south carolina,"myrtle beach, horry county",M
surfing,unprovoked,unknown,,other,1987-05-08,usa,florida,"st augustine, st. johns county",M
fishing,provoked,unknown,34.0,other,1987-05-06,australia,new south wales,,M
fishing,other,unknown,,other,1987-04-19,south africa,kwazulu-natal,port shepstone,M
swimming,unprovoked,unknown,16.0,other,1987-04-18,usa,texas,"mustang island, near port aransas",F
other,unprovoked,unknown,,fatal,1987-04-15,usa,hawaii,"kailua-kona, hawai'i",M
swimming,unprovoked,other shark,8.0,fatal,1987-04-01,vanuatu,malampa province,vao island,M
surfing,unprovoked,other shark,18.0,other,1987-03-30,australia,western australia,fourth beach / twilgth beach,M
other,provoked,white shark,,no injury,1987-03-30,south africa,western cape province,muizenberg,
surfing,unprovoked,other shark,,injured,1987-02-28,usa,florida,"singer island, riviera beach, palm beach county",M
other,other,unknown,,fatal,1987-02-19,solomon islands,between honiara & isabel island,,
fishing,unprovoked,white shark,30.0,other,1987-01-28,south africa,eastern cape province,eerste river,M
swimming,unprovoked,unknown,37.0,other,1987-01-06,australia,queensland,lizard island,M
other,other,other,,fatal,,montenegro,adriatic sea,"mogren beach, budva",M
other,other,white shark,,no injury,,italy,tyrrhenian sea,"marciana marina, isola d'elba",M
fishing,unprovoked,other shark,,other,1986-12-31,south africa,western cape province,agulhas banks,M
surfing,unprovoked,white shark,21.0,fatal,1986-12-22,south africa,western cape province,saou strand,M
surfing,unprovoked,other shark,40.0,injured,1986-12-11,usa,florida,"ponce inlet, new smyrna beach, volusia county",M
other,unprovoked,unknown,37.0,no injury,1986-12-06,bahamas,florida straits,off cay sal  banks,M
other,unprovoked,white shark,27.0,injured,1986-12-06,usa,california,"monastery beach, carmel river state park, monterey peninsula, monterey california",M
fishing,other,unknown,22.0,no injury,1986-12-04,south africa,western cape province,platbank,M
fishing,unprovoked,tiger shark,,injured,,new caledonia,,i'le ouen,
surfing,unprovoked,unknown,17.0,other,1986-11-30,usa,florida,"daytona beach, volusia county",M
surfing,unprovoked,unknown,26.0,injured,1986-11-19,usa,florida,"indiatlantic, brevard county",M
surfing,unprovoked,unknown,23.0,injured,1986-11-04,usa,florida,"tiger shores beach, martin county",M
other,provoked,other shark,,injured,1986-10-17,south africa,kwazulu-natal,umhlanga,M
swimming,unprovoked,other shark,6.0,injured,1986-10-03,usa,florida,"sanibel island, lee county",F
other,unprovoked,other shark,32.0,no injury,1986-10-05,south africa,kwazulu-natal,st. michaels,M
other,unprovoked,unknown,,unknown,1986-10-01,australia,western australia,"direction island, cocos islands",
surfing,unprovoked,bull shark,28.0,injured,,usa,florida,"floridana beach, brevard county",M
other,other,unknown,,other,1986-09-22,usa,florida,"pinellas point, tampa bay",
surfing,unprovoked,unknown,,injured,,usa,florida,"ormond beach / daytona beach, volusia county",
surfing,unprovoked,unknown,18.0,injured,,usa,florida,"ponce inlet, new smyrna beach, volusia county",
surfing,unprovoked,unknown,16.0,injured,1986-08-19,usa,north carolina,"masonboro inlet, new hanover county",
fishing,other,unknown,35.0,no injury,1986-08-10,south africa,western cape province,reef on seaward side of geyser island,M
diving,unprovoked,other shark,,injured,1986-08-03,australia,new south wales,"north head, sydney harbour",F
other,unprovoked,unknown,,injured,,france,gulf of lyons,gruissan,
fishing,other,white shark,,no injury,1986-07-26,australia,western australia,3 km west of rottnest island,
other,unprovoked,other shark,8.0,injured,1986-07-09,usa,south carolina,"myrtle beach, horry county",M
fishing,unprovoked,other shark,26.0,injured,,south africa,kwazulu-natal,lamercy,M
diving,unprovoked,other shark,,injured,1986-05-18,australia,new south wales,"north head, sydney harbour",M
other,unprovoked,unknown,,fatal,1986-05-15,south korea,,,M
other,unprovoked,unknown,,other,1986-04-20,usa,hawaii,"kaliiwi, kauai",M
diving,unprovoked,other shark,,other,,spain,catalonia,lloret-de-mar,M
surfing,unprovoked,white shark,,other,1986-03-18,spain,cádiz,tarifa,M
swimming,unprovoked,other shark,26.0,injured,1986-03-15,south africa,kwazulu-natal,"north beach, durban",M
surfing,unprovoked,other shark,23.0,no injury,1986-03-05,south africa,eastern cape province,"the fence, king's beach, port elizabeth",M
surfing,unprovoked,white shark,21.0,no injury,1986-02-18,south africa,eastern cape province,east london,M
surfing,unprovoked,unknown,,no injury,1986-02-17,south africa,eastern cape province,cape recife,M
swimming,unprovoked,other shark,46.0,other,1986-02-07,south africa,eastern cape province,"king's beach, port elizabeth",M
fishing,unprovoked,other shark,29.0,other,1986-02-06,south africa,western cape province,arniston,M
surfing,unprovoked,other shark,29.0,no injury,1986-02-01,australia,victoria,jan juc beach,M
surfing,unprovoked,other shark,22.0,other,1986-01-12,usa,florida,"singer island, riviera beach, palm beach county",M
surfing,unprovoked,other shark,16.0,no injury,,usa,california,"linda mar beach, pedro point, san mateo county",M
surfing,unprovoked,unknown,,other,1985-12-22,south africa,kwazulu-natal,garvies beach,M
other,unprovoked,tiger shark,,injured,1985-12-10,usa,north carolina,new hanover county,M
fishing,provoked,other shark,,injured,1985-11-11,australia,queensland,gladstone,M
other,other,white shark,,injured,1985-11-05,usa,california,"southeast farallon island, farallon islands",
fishing,provoked,unknown,24.0,injured,1985-11-03,usa,california,5 miles south of redondo beach,M
surfing,unprovoked,white shark,22.0,injured,1985-10-24,south africa,eastern cape province,east london,M
other,unprovoked,other shark,46.0,injured,1985-10-22,usa,california,"point conception, santa barbara county",M
surfing,unprovoked,tiger shark,33.0,other,1985-10-18,usa,hawaii,"little glass shacks, princeville, kaua'i",M
other,unprovoked,other shark,24.0,other,1985-10-12,usa,hawaii,"barbers point, o'ahu",M
fishing,provoked,other shark,,injured,1985-10-05,usa,alabama,"gulf shores, baldwin county",M
other,unprovoked,white shark,,no injury,1985-09-28,usa,california,"elephant rock near tomales point, marin county",M
swimming,other,unknown,21.0,other,1985-09-08,south africa,kwazulu-natal,t.o. strand,M
diving,unprovoked,other shark,,injured,1985-09-08,usa,florida,"palm beach, palm beach county",M
swimming,other,unknown,17.0,other,1985-09-05,usa,florida,"fort pierce inlet, st lucie county",M
swimming,unprovoked,unknown,87.0,injured,1985-08-22,usa,south carolina,"palmetto dunes, hilton head, beaufort county",M
swimming,other,unknown,11.0,other,1985-08-20,usa,florida,"new smyrna beach, volusia county",M
diving,other,unknown,67.0,other,1985-08-17,usa,florida,"bayport, hernando county",M
swimming,unprovoked,other shark,13.0,injured,1985-07-25,usa,florida,"daytona beach, volusia county",F
surfing,unprovoked,unknown,15.0,injured,1985-07-25,usa,florida,"new smyrna beach, volusia county",M
other,other,white shark,,no injury,1985-07-21,usa,california,"off shelter cover (between fort bragg & eureka), humboldt county",
other,unprovoked,tiger shark,10.0,other,1985-07-19,usa,south carolina,"folly beach, charleston county",F
diving,unprovoked,white shark,13.0,other,,italy,sicily,punta secca,M
other,unprovoked,unknown,,injured,1985-05-26,usa,california,"long beach, los angeles county",M
fishing,provoked,other shark,39.0,other,1985-05-08,south africa,kwazulu-natal,umdhloti,M
surfing,unprovoked,unknown,25.0,injured,1985-03-16,usa,florida,"palm beach, palm beach county",M
other,unprovoked,white shark,33.0,fatal,1985-03-03,australia,south australia,"wiseman’s beach, peake bay, port lincoln",F
other,unprovoked,white shark,29.0,other,1985-02-18,usa,california,"san miguel island, santa barbara county",M
surfing,unprovoked,unknown,16.0,injured,1985-02-03,usa,florida,"15 miles north of sebastian inlet, brevard county",M
swimming,unprovoked,other shark,15.0,other,1985-01-27,south africa,western cape province,struisbaai,M
other,other,unknown,,other,1985-01-18,south africa,kwazulu-natal,umzimkulu,M
surfing,unprovoked,white shark,18.0,injured,1985-01-17,south africa,kwazulu-natal,umbogintwini,M
other,other,other shark,,no injury,1985-01-16,new zealand,south island,christchurch,
fishing,unprovoked,white shark,34.0,injured,1985-01-04,south africa,western cape province,"buffels bay, false bay",M
fishing,unprovoked,tiger shark,,injured,,new caledonia,south province,amedee island,
fishing,provoked,other shark,20.0,injured,,south africa,kwazulu-natal,salt rock,M
other,unprovoked,unknown,,fatal,,vanuatu,malampa province,"port sandwich bay, lamap, malakula",M
fishing,unprovoked,bull shark,,fatal,,iran,,"ramin, near ahvaz",M
other,other,white shark,,no injury,1984-12-03,italy,tyrrhenian sea,"marciana marina, isola d'elba",
other,unprovoked,tiger shark,16.0,fatal,1984-11-30,australia,queensland,1 km off black's beach,M
surfing,unprovoked,other shark,13.0,injured,1984-11-11,usa,florida,"jupiter island beach, martin county",M
fishing,provoked,other shark,29.0,other,1984-11-04,usa,florida,"fowey rock, key biscayne",M
swimming,other,unknown,22.0,injured,1984-10-21,usa,florida,"wabasso beach, indian river county",M
other,unprovoked,other shark,23.0,injured,1984-10-21,usa,florida,"3 miles south of sebastian inlet state park, indian river county",F
swimming,other,unknown,77.0,injured,1984-10-17,usa,florida,"boynton beach, palm beach county",F
surfing,unprovoked,other shark,15.0,injured,1984-10-14,usa,florida,"bob graham beach, martin county",M
other,unprovoked,white shark,25.0,injured,1984-09-30,usa,oregon,"""turnaround"", cape kiwanda, tillamook county",M
other,unprovoked,white shark,,injured,1984-09-30,usa,california,"tomales point, marin county",M
surfing,unprovoked,unknown,17.0,injured,1984-09-23,usa,florida,volusia county,M
swimming,unprovoked,unknown,,other,1984-09-22,usa,florida,,M
surfing,unprovoked,other shark,16.0,injured,1984-09-22,usa,florida,"indiatlantic, brevard county",M
swimming,unprovoked,unknown,,unknown,1984-09-19,usa,florida,volusia county,
swimming,unprovoked,other shark,,injured,1984-09-17,usa,california,"mission beach, san diego county",M
other,unprovoked,white shark,28.0,fatal,1984-09-15,usa,california,"pigeon point, san mateo county",M
fishing,provoked,white shark,,no injury,1984-09-11,mexico,baja california,guadalupe island,M
other,other,unknown,31.0,other,1984-08-24,usa,florida,"off crystal river, citrus county",F
other,unprovoked,unknown,,fatal,1984-08-07,indonesia,,bali,M
swimming,unprovoked,unknown,13.0,injured,1984-07-24,usa,texas,south padre island,F
swimming,unprovoked,other shark,18.0,other,1984-07-24,usa,texas,south padre island,F
fishing,other,unknown,21.0,fatal,1984-07-22,south africa,western cape province,cape point,M
other,unprovoked,unknown,30.0,other,1984-07-01,usa,florida,,M
fishing,unprovoked,other shark,,no injury,,south africa,kwazulu-natal,sodwana,M
surfing,unprovoked,white shark,27.0,no injury,1984-06-15,south africa,western cape province,"muizenberg, false bay",M
other,unprovoked,other shark,13.0,injured,1984-06-03,usa,hawaii,"kane'ohe bay, o'ahu",F
swimming,unprovoked,unknown,,fatal,1984-06-03,vanuatu,malampa province,"atchin island, off malakula",M
fishing,unprovoked,unknown,28.0,injured,1984-05-31,south africa,western cape province,arniston,M
other,other,unknown,,fatal,1984-03-17,somalia,,,M
surfing,unprovoked,unknown,,no injury,1984-03-14,south africa,kwazulu-natal,amanzimtoti,M
other,other,other shark,,no injury,1984-03-10,south africa,eastern cape province,swartkops river mouth,M
other,unprovoked,unknown,,unknown,1984-03-01,australia,western australia,coral bay,
fishing,provoked,other shark,,other,1984-02-18,south africa,eastern cape province,"paradise beach, jeffrey’s bay",M
diving,provoked,other shark,33.0,other,1984-02-17,south africa,kwazulu-natal,"shark tank at oceanographic research insitute, durban",M
other,other,unknown,,other,1984-02-12,south africa,eastern cape province,st. george’s strand,
fishing,unprovoked,other shark,27.0,injured,1984-02-11,australia,queensland,derwent island,M
swimming,unprovoked,other shark,14.0,injured,1984-01-05,south africa,eastern cape province,port alfred,M
other,unprovoked,unknown,14.0,other,1984-01-04,south africa,kwazulu-natal,umlaas canal,F
other,provoked,other shark,,other,,usa,california,san francisco,M
surfing,unprovoked,unknown,,injured,,usa,florida,"indiatlantic, brevard county",M
fishing,other,unknown,36.0,other,1983-12-30,greece,andikira fokithes,,M
surfing,unprovoked,unknown,17.0,injured,1983-12-25,usa,florida,"riviera beach, palm beach county",M
other,unprovoked,white shark,48.0,injured,1983-12-24,australia,south australia,"dangerous reef, south neptune island",M
swimming,unprovoked,unknown,16.0,other,1983-12-22,south africa,eastern cape province,great fish river,M
swimming,unprovoked,other shark,47.0,other,1983-12-21,south africa,eastern cape province,nahoon,M
other,other,unknown,,other,1983-12-07,south africa,kwazulu-natal,lamercy,M
other,other,other shark,,other,1983-11-21,philippines,central philippines,,M
surfing,unprovoked,tiger shark,15.0,injured,1983-11-10,usa,florida,"melbourne beach, brevard county",M
swimming,other,unknown,,other,1983-11-10,south africa,kwazulu-natal,tongaat,F
surfing,unprovoked,other shark,16.0,other,1983-10-17,usa,florida,"stuart beach, martin county",M
swimming,unprovoked,other shark,20.0,injured,1983-10-13,usa,florida,"daytona beach, volusia county",M
swimming,unprovoked,unknown,15.0,other,1983-09-04,usa,florida,"off lake worth, palm beach county",M
surfing,unprovoked,white shark,,no injury,1983-08-20,usa,oregon,"cape kiwanda,tillamook county",M
fishing,unprovoked,white shark,29.0,other,1983-08-20,south africa,western cape province,"seal island, false bay",M
swimming,unprovoked,other shark,14.0,injured,1983-08-15,usa,virginia,"virginia beach, princess anne county",F
other,provoked,other shark,14.0,other,1983-08-13,usa,florida,"riviera beach, palm beach county",M
diving,unprovoked,bull shark,22.0,injured,1983-08-13,usa,florida,"6 miles south of boca chica key, monroe county",F
fishing,other,unknown,,no injury,1983-08-06,usa,rhode island,,
other,other,tiger shark,21.0,fatal,1983-07-26,australia,queensland,"off lodestone reef, great barrier reef, north of townsville",F
other,other,tiger shark,24.0,fatal,1983-07-25,australia,queensland,"off lodestone reef, great barrier reef, north of townsville",M
other,other,tiger shark,28.0,injured,1983-07-25,australia,queensland,"off lodestone reef, great barrier reef, north of townsville",M
surfing,unprovoked,other shark,,injured,1983-07-15,south africa,eastern cape province,"seal point, cape st. francis",M
surfing,unprovoked,other shark,39.0,other,1983-07-12,usa,florida,"caloosahatchee river, lee county",F
fishing,unprovoked,unknown,13.0,injured,1983-07-08,bahamas,abaco islands,green turtle cay,M
other,unprovoked,unknown,17.0,no injury,1983-07-05,usa,florida,"riviera beach, palm beach county",M
swimming,unprovoked,unknown,42.0,injured,1983-06-29,usa,florida,"off 12th street, miami beach",M
fishing,unprovoked,unknown,15.0,fatal,1983-06-22,bahamas,abaco islands,"off sandy point, great abaco island",M
other,unprovoked,unknown,21.0,other,1983-06-20,usa,florida,"cocoa beach, brevard county",M
other,unprovoked,other shark,30.0,injured,1983-06-15,bahamas,,carter cay,M
diving,other,unknown,,no injury,1983-06-15,italy,northwest italy,riomaggiore (ligura),M
fishing,unprovoked,other shark,,injured,,bahamas,berry islands,whale cay,M
other,unprovoked,other shark,21.0,other,1983-05-31,usa,florida,"intracoastal waterway, boca raton, palm beach county",M
surfing,unprovoked,unknown,15.0,no injury,1983-05-24,usa,florida,"riviera beach, palm beach county",M
surfing,unprovoked,unknown,22.0,injured,1983-05-21,usa,florida,"haulover inlet, dade county",M
surfing,unprovoked,unknown,,unknown,1983-04-19,usa,florida,,M
fishing,unprovoked,other shark,27.0,other,1983-04-12,south africa,eastern cape province,bonza bay,M
surfing,unprovoked,unknown,16.0,injured,1983-04-02,usa,florida,"lake worth beach, palm beach county",M
other,other,unknown,,injured,1983-04-02,south africa,kwazulu-natal,mpande,M
fishing,unprovoked,other shark,17.0,other,1983-03-30,south africa,kwazulu-natal,scottburgh,M
surfing,unprovoked,other shark,,no injury,1983-03-22,south africa,eastern cape province,nahoon,M
surfing,unprovoked,unknown,,no injury,1983-03-10,usa,florida,"juno beach, palm beach county",M
other,unprovoked,other shark,,injured,,new caledonia,loyalty islands,"we, lifou",
other,unprovoked,other shark,16.0,other,1983-02-20,south africa,kwazulu-natal,mtunzini,M
fishing,provoked,unknown,43.0,injured,1983-01-24,usa,south carolina,60 miles southeast of beaufort,M
other,other,unknown,,fatal,1983-01-15,south africa,kwazulu-natal,amanzimtoti,M
surfing,unprovoked,unknown,22.0,other,1983-01-10,south africa,western cape province,muizenberg,M
fishing,unprovoked,white shark,32.0,no injury,1983-01-08,south africa,western cape province,holbaai,M
swimming,unprovoked,unknown,,injured,,,english channel,,M
other,unprovoked,unknown,,fatal,,vanuatu,malampa province,"off the beach opposite atchin island, malakula",M
fishing,provoked,other shark,,injured,,usa,north & south carolina,,M
surfing,unprovoked,other,27.0,no injury,1982-12-26,australia,new south wales,suffolk park,M
other,unprovoked,unknown,,injured,,usa,south carolina,"isle of palms, charleston county",M
other,other,unknown,,fatal,1962-10-23,usa,carolina coast,,
surfing,unprovoked,other shark,26.0,other,1982-10-13,usa,florida,north dade- interama area of biscayne bay,M
surfing,unprovoked,unknown,16.0,no injury,1982-09-30,south africa,eastern cape province,"nahoon, east london",M
surfing,unprovoked,white shark,16.0,no injury,1982-09-30,south africa,eastern cape province,"nahoon, east london",M
surfing,unprovoked,other shark,20.0,injured,1982-09-27,usa,florida,"patrick air force base, brevard county",M
diving,unprovoked,white shark,36.0,injured,1982-09-25,usa,california,"monastery beach, carmel bay, monterey county",M
other,unprovoked,white shark,28.0,injured,1982-09-19,usa,california,"bear harbor, mendocino county",M
other,other,unknown,,other,1982-09-04,usa,florida,"hollywood beach, broward county",M
other,unprovoked,unknown,,fatal,1982-08-29,japan,kumamoto prefecture,ariake bay,M
surfing,other,unknown,17.0,no injury,1982-08-29,usa,california,"morro rock, morro bay, san obispo county",M
swimming,unprovoked,unknown,18.0,injured,1982-08-29,south africa,western cape province,langebaan,F
surfing,unprovoked,other shark,,other,,tunisia,,"skanes, near monaster",M
surfing,other,unknown,20.0,no injury,1982-07-31,south africa,kwazulu-natal,amanzimtoti,M
other,unprovoked,white shark,38.0,no injury,1982-07-24,south africa,eastern cape province,"nahoon, east london",M
other,unprovoked,white shark,26.0,no injury,1982-07-24,usa,california,"point buchon, san luis obispo county",M
swimming,unprovoked,other shark,17.0,injured,1982-07-19,usa,florida,"stuart beach, martin county",M
swimming,other,other shark,43.0,injured,1982-07-11,usa,california,"malibu, los angeles county",M
swimming,unprovoked,unknown,19.0,injured,1982-07-01,usa,florida,"daytona beach, volusia county",F
other,unprovoked,unknown,,injured,,new caledonia,south province,"sarcelle, isle of pines",
surfing,unprovoked,white shark,27.0,fatal,1982-06-29,south africa,eastern cape province,ntlonyana bay,M
swimming,unprovoked,other shark,20.0,injured,1982-06-26,usa,south carolina,"isle of palms, charleston county",M
fishing,unprovoked,other shark,19.0,other,1982-06-26,bahamas,andros islands,north rat cay reef,M
other,unprovoked,unknown,8.0,injured,1982-06-25,usa,florida,"ormond beach / daytona beach, volusia county",F
other,unprovoked,other shark,,injured,1982-06-13,usa,hawaii,"ho'okipa beach, pa'ia, maui",M
other,other,unknown,,other,,usa,south carolina,"daws island, broad river (near beaufort)",F
surfing,unprovoked,unknown,16.0,injured,1982-03-10,usa,florida,"palm beach, palm beach county",M
surfing,unprovoked,unknown,20.0,fatal,1982-03-07,australia,new south wales,"tallow beach, byron bay",M
fishing,unprovoked,unknown,,injured,,new caledonia,,,M
fishing,unprovoked,white shark,32.0,fatal,1982-02-28,australia,tasmania,south cape bay,M
surfing,unprovoked,other shark,18.0,injured,1982-02-27,usa,florida,"hobe sound, palm beach county",M
fishing,provoked,unknown,,injured,1982-02-17,south africa,western cape province,mossel bay,M
swimming,unprovoked,unknown,,injured,1982-02-14,usa,hawaii,"white plains beach, barbers point, o'ahu",F
swimming,unprovoked,unknown,,injured,1982-02-14,usa,hawaii,"white plains beach, barbers point, o'ahu",F
swimming,unprovoked,unknown,75.0,injured,1982-02-13,usa,florida,"palm beach, palm beach county",F
other,unprovoked,white shark,,injured,1982-02-07,usa,california,"stillwater cove, sonoma county",M
diving,unprovoked,unknown,29.0,fatal,1982-02-07,usa,florida,elliot key,M
swimming,unprovoked,other shark,20.0,other,1982-01-29,south africa,eastern cape province,mpekeweni,M
other,other,white shark,,unknown,,italy,tyrrhenian sea,"lacona, isola d'elba",M
other,other,white shark,,no injury,,italy,tyrrhenian sea,"biodola, isola d'elba",M
fishing,unprovoked,unknown,,unknown,,tunisia,biserta,bechateur,
surfing,unprovoked,white shark,24.0,fatal,1981-12-19,usa,california,"south moss beach, spanish bay, monterey peninsula",M
other,unprovoked,unknown,,other,1981-12-13,australia,queensland,green island,
other,unprovoked,tiger shark,,injured,1981-12-13,usa,hawaii,"nimitz beach, barbers point, o'ahu",M
fishing,unprovoked,unknown,,injured,1981-11-30,reunion,saint-philippe,vicendo,M
other,provoked,white shark,,other,1981-10-19,south africa,western cape province,mossel bay,M
other,unprovoked,other shark,59.0,injured,1981-11-09,usa,hawaii,"la'au point, moloka'i",M
swimming,unprovoked,other shark,19.0,injured,1981-10-19,usa,florida,"jupiter island, brevard county",M
surfing,unprovoked,unknown,,unknown,1981-10-17,usa,florida,"palm beach, palm beach county",M
surfing,unprovoked,unknown,17.0,other,1981-10-16,usa,florida,"cocoa beach, brevard county",M
surfing,unprovoked,other shark,24.0,injured,1981-10-01,usa,florida,"playalinda beach, brevard county",M
surfing,unprovoked,unknown,28.0,other,1981-09-28,usa,florida,"cocoa beach, brevard county",M
surfing,unprovoked,unknown,,injured,1981-09-27,usa,florida,"melbourne beach, brevard county",M
swimming,unprovoked,tiger shark,26.0,fatal,1981-09-15,usa,florida,"tampa bay, manatee county",M
surfing,unprovoked,unknown,25.0,injured,1981-09-03,usa,florida,"patrick air force base, brevard county",M
surfing,unprovoked,unknown,24.0,injured,1981-09-03,usa,florida,"cocoa beach, brevard county",M
surfing,unprovoked,other shark,15.0,injured,1981-08-29,usa,florida,"new smyrna beach, volusia county",M
fishing,provoked,unknown,19.0,other,1981-08-24,usa,florida,gulf island national seashore park,M
fishing,other,other shark,,other,1981-08-24,usa,hawaii,"keaukaha, hilo, hawai'i",M
diving,unprovoked,other shark,,injured,1981-08-10,usa,florida,"marathon, monroe county",M
other,unprovoked,unknown,19.0,fatal,1981-08-10,usa,florida,"ormond beach / daytona beach, volusia county",F
other,unprovoked,other shark,53.0,injured,1981-08-07,bahamas,grand bahama island,"gingerbread reef, east of little isaac island",M
swimming,unprovoked,other shark,16.0,injured,1981-07-20,usa,florida,"st. petersburg beach, pinellas county",F
surfing,unprovoked,other shark,32.0,injured,1981-07-18,south africa,eastern cape province,nahoon,M
fishing,unprovoked,other shark,,other,1981-07-07,usa,florida,carter cay,M
other,unprovoked,other shark,,injured,1981-07-01,south africa,kwazulu-natal,clansthal,M
fishing,other,other shark,,injured,1981-06-15,england,,isle of wight,M
other,other,unknown,,other,1981-06-12,usa,hawaii,"honoli'i pali, hilo bay ('alae point), hawai'i",M
other,unprovoked,unknown,,fatal,1981-05-24,usa,hawaii,"ha'ena beach park, kaua'i",M
other,unprovoked,white shark,27.0,fatal,1981-05-23,south korea,chungnam,wae-yeon island,F
surfing,unprovoked,other shark,27.0,no injury,1981-05-20,south africa,eastern cape province,nahoon,M
diving,unprovoked,unknown,32.0,other,1981-05-19,usa,florida,"sands cut, elliot key",M
diving,unprovoked,other shark,,injured,1981-05-16,usa,florida,"jacksonville, duval county",M
surfing,unprovoked,other shark,19.0,no injury,1981-05-10,south africa,eastern cape province,king’s beach,M
other,provoked,unknown,,injured,1981-05-07,namibia,eronogo region,walvis bay,M
other,other,unknown,,other,1981-03-08,bermuda,,,
surfing,unprovoked,tiger shark,24.0,injured,1981-05-05,south africa,eastern cape province,ntlonyane bay,M
other,unprovoked,other shark,19.0,injured,1981-03-25,usa,florida,"singer island, riviera beach, palm beach county",M
surfing,unprovoked,other,24.0,other,1981-03-24,usa,florida,"singer island, riviera beach, palm beach county",M
other,unprovoked,white shark,,injured,1981-03-04,chile,coquimbo,"bahia totoralillo, 80  km north of coquimbo",M
diving,unprovoked,white shark,,unknown,,brazil,rio de janeiro,cabo frio,
swimming,unprovoked,other shark,30.0,other,1981-02-19,south africa,kwazulu-natal,umtentweni,M
other,unprovoked,other shark,,other,1981-02-16,australia,western australia,"leighton beach, north of freemantle",M
other,unprovoked,unknown,,unknown,1981-02-07,australia,western australia,"parker's point, rottnest island",
surfing,unprovoked,other shark,15.0,injured,1981-02-02,usa,florida,"juno beach, palm beach county",M
fishing,unprovoked,unknown,,other,,brazil,rio de janeiro,cabo frio,
other,unprovoked,tiger shark,25.0,other,1981-01-30,usa,florida,20 miles from mayport,M
